,IDV,SUBPOP,ANC
a.chromsome.0,a.0,a,b
a.chromsome.1,a.0,a,b
a.chromsome.2,a.1,a,b
a.chromsome.3,a.1,a,b
a.chromsome.4,a.2,a,d
a.chromsome.5,a.2,a,d
a.chromsome.6,a.3,a,b
a.chromsome.7,a.3,a,d
a.chromsome.8,a.4,a,b
a.chromsome.9,a.4,a,d
b.chromsome.0,b.0,b,b
b.chromsome.1,b.0,b,d
b.chromsome.2,b.1,b,b
b.chromsome.3,b.1,b,b
b.chromsome.4,b.2,b,d
b.chromsome.5,b.2,b,b
b.chromsome.6,b.3,b,b
b.chromsome.7,b.3,b,b
b.chromsome.8,b.4,b,b
b.chromsome.9,b.4,b,b
c.chromsome.0,c.0,c,b
c.chromsome.1,c.0,c,b
c.chromsome.2,c.1,c,b
c.chromsome.3,c.1,c,b
c.chromsome.4,c.2,c,d
c.chromsome.5,c.2,c,b
c.chromsome.6,c.3,c,b
c.chromsome.7,c.3,c,b
c.chromsome.8,c.4,c,b
c.chromsome.9,c.4,c,b
d.chromsome.0,d.0,d,b
d.chromsome.1,d.0,d,d
d.chromsome.2,d.1,d,b
d.chromsome.3,d.1,d,b
d.chromsome.4,d.2,d,b
d.chromsome.5,d.2,d,b
d.chromsome.6,d.3,d,d
d.chromsome.7,d.3,d,b
d.chromsome.8,d.4,d,b
d.chromsome.9,d.4,d,b
