,IDV,SUBPOP,ANC
0.chromsome.0,0.0,0,a
0.chromsome.1,0.0,0,a
0.chromsome.2,0.1,0,a
0.chromsome.3,0.1,0,a
0.chromsome.4,0.2,0,a
0.chromsome.5,0.2,0,a
0.chromsome.6,0.3,0,a
0.chromsome.7,0.3,0,a
0.chromsome.8,0.4,0,a
0.chromsome.9,0.4,0,a
0.chromsome.10,0.5,0,a
0.chromsome.11,0.5,0,a
0.chromsome.12,0.6,0,a
0.chromsome.13,0.6,0,a
0.chromsome.14,0.7,0,a
0.chromsome.15,0.7,0,a
0.chromsome.16,0.8,0,a
0.chromsome.17,0.8,0,a
0.chromsome.18,0.9,0,a
0.chromsome.19,0.9,0,a
0.chromsome.20,0.10,0,a
0.chromsome.21,0.10,0,a
0.chromsome.22,0.11,0,a
0.chromsome.23,0.11,0,a
0.chromsome.24,0.12,0,a
0.chromsome.25,0.12,0,a
0.chromsome.26,0.13,0,a
0.chromsome.27,0.13,0,a
0.chromsome.28,0.14,0,a
0.chromsome.29,0.14,0,a
0.chromsome.30,0.15,0,a
0.chromsome.31,0.15,0,a
0.chromsome.32,0.16,0,a
0.chromsome.33,0.16,0,a
0.chromsome.34,0.17,0,a
0.chromsome.35,0.17,0,a
0.chromsome.36,0.18,0,a
0.chromsome.37,0.18,0,a
0.chromsome.38,0.19,0,a
0.chromsome.39,0.19,0,a
0.chromsome.40,0.20,0,a
0.chromsome.41,0.20,0,a
0.chromsome.42,0.21,0,a
0.chromsome.43,0.21,0,a
0.chromsome.44,0.22,0,a
0.chromsome.45,0.22,0,a
0.chromsome.46,0.23,0,a
0.chromsome.47,0.23,0,a
0.chromsome.48,0.24,0,a
0.chromsome.49,0.24,0,a
0.chromsome.50,0.25,0,a
0.chromsome.51,0.25,0,a
0.chromsome.52,0.26,0,a
0.chromsome.53,0.26,0,a
0.chromsome.54,0.27,0,a
0.chromsome.55,0.27,0,a
0.chromsome.56,0.28,0,a
0.chromsome.57,0.28,0,a
0.chromsome.58,0.29,0,a
0.chromsome.59,0.29,0,a
0.chromsome.60,0.30,0,a
0.chromsome.61,0.30,0,a
0.chromsome.62,0.31,0,a
0.chromsome.63,0.31,0,a
0.chromsome.64,0.32,0,a
0.chromsome.65,0.32,0,a
0.chromsome.66,0.33,0,a
0.chromsome.67,0.33,0,a
0.chromsome.68,0.34,0,a
0.chromsome.69,0.34,0,a
0.chromsome.70,0.35,0,a
0.chromsome.71,0.35,0,a
0.chromsome.72,0.36,0,a
0.chromsome.73,0.36,0,a
0.chromsome.74,0.37,0,a
0.chromsome.75,0.37,0,a
0.chromsome.76,0.38,0,a
0.chromsome.77,0.38,0,a
0.chromsome.78,0.39,0,a
0.chromsome.79,0.39,0,a
0.chromsome.80,0.40,0,a
0.chromsome.81,0.40,0,a
0.chromsome.82,0.41,0,a
0.chromsome.83,0.41,0,a
0.chromsome.84,0.42,0,a
0.chromsome.85,0.42,0,a
0.chromsome.86,0.43,0,a
0.chromsome.87,0.43,0,a
0.chromsome.88,0.44,0,a
0.chromsome.89,0.44,0,a
0.chromsome.90,0.45,0,a
0.chromsome.91,0.45,0,a
0.chromsome.92,0.46,0,a
0.chromsome.93,0.46,0,a
0.chromsome.94,0.47,0,a
0.chromsome.95,0.47,0,a
0.chromsome.96,0.48,0,a
0.chromsome.97,0.48,0,a
0.chromsome.98,0.49,0,a
0.chromsome.99,0.49,0,a
0.chromsome.100,0.50,0,a
0.chromsome.101,0.50,0,a
0.chromsome.102,0.51,0,a
0.chromsome.103,0.51,0,a
0.chromsome.104,0.52,0,a
0.chromsome.105,0.52,0,a
0.chromsome.106,0.53,0,a
0.chromsome.107,0.53,0,a
0.chromsome.108,0.54,0,a
0.chromsome.109,0.54,0,a
0.chromsome.110,0.55,0,a
0.chromsome.111,0.55,0,a
0.chromsome.112,0.56,0,a
0.chromsome.113,0.56,0,a
0.chromsome.114,0.57,0,a
0.chromsome.115,0.57,0,a
0.chromsome.116,0.58,0,a
0.chromsome.117,0.58,0,a
0.chromsome.118,0.59,0,a
0.chromsome.119,0.59,0,a
0.chromsome.120,0.60,0,a
0.chromsome.121,0.60,0,a
0.chromsome.122,0.61,0,a
0.chromsome.123,0.61,0,a
0.chromsome.124,0.62,0,a
0.chromsome.125,0.62,0,a
0.chromsome.126,0.63,0,a
0.chromsome.127,0.63,0,a
0.chromsome.128,0.64,0,a
0.chromsome.129,0.64,0,a
0.chromsome.130,0.65,0,a
0.chromsome.131,0.65,0,a
0.chromsome.132,0.66,0,a
0.chromsome.133,0.66,0,a
0.chromsome.134,0.67,0,a
0.chromsome.135,0.67,0,a
0.chromsome.136,0.68,0,a
0.chromsome.137,0.68,0,a
0.chromsome.138,0.69,0,a
0.chromsome.139,0.69,0,a
0.chromsome.140,0.70,0,a
0.chromsome.141,0.70,0,a
0.chromsome.142,0.71,0,a
0.chromsome.143,0.71,0,a
0.chromsome.144,0.72,0,a
0.chromsome.145,0.72,0,a
0.chromsome.146,0.73,0,a
0.chromsome.147,0.73,0,a
0.chromsome.148,0.74,0,a
0.chromsome.149,0.74,0,a
0.chromsome.150,0.75,0,a
0.chromsome.151,0.75,0,a
0.chromsome.152,0.76,0,a
0.chromsome.153,0.76,0,a
0.chromsome.154,0.77,0,a
0.chromsome.155,0.77,0,a
0.chromsome.156,0.78,0,a
0.chromsome.157,0.78,0,a
0.chromsome.158,0.79,0,a
0.chromsome.159,0.79,0,a
0.chromsome.160,0.80,0,a
0.chromsome.161,0.80,0,a
0.chromsome.162,0.81,0,a
0.chromsome.163,0.81,0,a
0.chromsome.164,0.82,0,a
0.chromsome.165,0.82,0,a
0.chromsome.166,0.83,0,a
0.chromsome.167,0.83,0,a
0.chromsome.168,0.84,0,a
0.chromsome.169,0.84,0,a
0.chromsome.170,0.85,0,a
0.chromsome.171,0.85,0,a
0.chromsome.172,0.86,0,a
0.chromsome.173,0.86,0,a
0.chromsome.174,0.87,0,a
0.chromsome.175,0.87,0,a
0.chromsome.176,0.88,0,a
0.chromsome.177,0.88,0,a
0.chromsome.178,0.89,0,a
0.chromsome.179,0.89,0,a
0.chromsome.180,0.90,0,a
0.chromsome.181,0.90,0,a
0.chromsome.182,0.91,0,a
0.chromsome.183,0.91,0,a
0.chromsome.184,0.92,0,a
0.chromsome.185,0.92,0,a
0.chromsome.186,0.93,0,a
0.chromsome.187,0.93,0,a
0.chromsome.188,0.94,0,a
0.chromsome.189,0.94,0,a
0.chromsome.190,0.95,0,a
0.chromsome.191,0.95,0,a
0.chromsome.192,0.96,0,a
0.chromsome.193,0.96,0,a
0.chromsome.194,0.97,0,a
0.chromsome.195,0.97,0,a
0.chromsome.196,0.98,0,a
0.chromsome.197,0.98,0,a
0.chromsome.198,0.99,0,a
0.chromsome.199,0.99,0,a
0.chromsome.200,0.100,0,a
0.chromsome.201,0.100,0,a
0.chromsome.202,0.101,0,a
0.chromsome.203,0.101,0,a
0.chromsome.204,0.102,0,a
0.chromsome.205,0.102,0,a
0.chromsome.206,0.103,0,a
0.chromsome.207,0.103,0,a
0.chromsome.208,0.104,0,a
0.chromsome.209,0.104,0,a
0.chromsome.210,0.105,0,a
0.chromsome.211,0.105,0,a
0.chromsome.212,0.106,0,a
0.chromsome.213,0.106,0,a
0.chromsome.214,0.107,0,a
0.chromsome.215,0.107,0,a
0.chromsome.216,0.108,0,a
0.chromsome.217,0.108,0,a
0.chromsome.218,0.109,0,a
0.chromsome.219,0.109,0,a
0.chromsome.220,0.110,0,a
0.chromsome.221,0.110,0,a
0.chromsome.222,0.111,0,a
0.chromsome.223,0.111,0,a
0.chromsome.224,0.112,0,a
0.chromsome.225,0.112,0,a
0.chromsome.226,0.113,0,a
0.chromsome.227,0.113,0,a
0.chromsome.228,0.114,0,a
0.chromsome.229,0.114,0,a
0.chromsome.230,0.115,0,a
0.chromsome.231,0.115,0,a
0.chromsome.232,0.116,0,a
0.chromsome.233,0.116,0,a
0.chromsome.234,0.117,0,a
0.chromsome.235,0.117,0,a
0.chromsome.236,0.118,0,a
0.chromsome.237,0.118,0,a
0.chromsome.238,0.119,0,a
0.chromsome.239,0.119,0,a
0.chromsome.240,0.120,0,a
0.chromsome.241,0.120,0,a
0.chromsome.242,0.121,0,a
0.chromsome.243,0.121,0,a
0.chromsome.244,0.122,0,a
0.chromsome.245,0.122,0,a
0.chromsome.246,0.123,0,a
0.chromsome.247,0.123,0,a
0.chromsome.248,0.124,0,a
0.chromsome.249,0.124,0,a
0.chromsome.250,0.125,0,a
0.chromsome.251,0.125,0,a
0.chromsome.252,0.126,0,a
0.chromsome.253,0.126,0,a
0.chromsome.254,0.127,0,a
0.chromsome.255,0.127,0,a
0.chromsome.256,0.128,0,a
0.chromsome.257,0.128,0,a
0.chromsome.258,0.129,0,a
0.chromsome.259,0.129,0,a
0.chromsome.260,0.130,0,a
0.chromsome.261,0.130,0,a
0.chromsome.262,0.131,0,a
0.chromsome.263,0.131,0,a
0.chromsome.264,0.132,0,a
0.chromsome.265,0.132,0,a
0.chromsome.266,0.133,0,a
0.chromsome.267,0.133,0,a
0.chromsome.268,0.134,0,a
0.chromsome.269,0.134,0,a
0.chromsome.270,0.135,0,a
0.chromsome.271,0.135,0,a
0.chromsome.272,0.136,0,a
0.chromsome.273,0.136,0,a
0.chromsome.274,0.137,0,a
0.chromsome.275,0.137,0,a
0.chromsome.276,0.138,0,a
0.chromsome.277,0.138,0,a
0.chromsome.278,0.139,0,a
0.chromsome.279,0.139,0,a
0.chromsome.280,0.140,0,a
0.chromsome.281,0.140,0,a
0.chromsome.282,0.141,0,a
0.chromsome.283,0.141,0,a
0.chromsome.284,0.142,0,a
0.chromsome.285,0.142,0,a
0.chromsome.286,0.143,0,a
0.chromsome.287,0.143,0,a
0.chromsome.288,0.144,0,a
0.chromsome.289,0.144,0,a
0.chromsome.290,0.145,0,a
0.chromsome.291,0.145,0,a
0.chromsome.292,0.146,0,a
0.chromsome.293,0.146,0,a
0.chromsome.294,0.147,0,a
0.chromsome.295,0.147,0,a
0.chromsome.296,0.148,0,a
0.chromsome.297,0.148,0,a
0.chromsome.298,0.149,0,a
0.chromsome.299,0.149,0,a
0.chromsome.300,0.150,0,a
0.chromsome.301,0.150,0,a
0.chromsome.302,0.151,0,a
0.chromsome.303,0.151,0,a
0.chromsome.304,0.152,0,a
0.chromsome.305,0.152,0,a
0.chromsome.306,0.153,0,a
0.chromsome.307,0.153,0,a
0.chromsome.308,0.154,0,a
0.chromsome.309,0.154,0,a
0.chromsome.310,0.155,0,a
0.chromsome.311,0.155,0,a
0.chromsome.312,0.156,0,a
0.chromsome.313,0.156,0,a
0.chromsome.314,0.157,0,a
0.chromsome.315,0.157,0,a
0.chromsome.316,0.158,0,a
0.chromsome.317,0.158,0,a
0.chromsome.318,0.159,0,a
0.chromsome.319,0.159,0,a
0.chromsome.320,0.160,0,a
0.chromsome.321,0.160,0,a
0.chromsome.322,0.161,0,a
0.chromsome.323,0.161,0,a
0.chromsome.324,0.162,0,a
0.chromsome.325,0.162,0,a
0.chromsome.326,0.163,0,a
0.chromsome.327,0.163,0,a
0.chromsome.328,0.164,0,a
0.chromsome.329,0.164,0,a
0.chromsome.330,0.165,0,a
0.chromsome.331,0.165,0,a
0.chromsome.332,0.166,0,a
0.chromsome.333,0.166,0,a
0.chromsome.334,0.167,0,a
0.chromsome.335,0.167,0,a
0.chromsome.336,0.168,0,a
0.chromsome.337,0.168,0,a
0.chromsome.338,0.169,0,a
0.chromsome.339,0.169,0,a
0.chromsome.340,0.170,0,a
